Johannesburg;Gauteng
Cape Town;Western Cape
Soweto;Gauteng
Pietermaritzburg;KZN
Durban;KZN
Pretoria;Gauteng
Rustenburg;North West
Newcastle;KZN
East London;Eastern Cape
Bloemfontein;Free State
Centurion;Gauteng
Kimberley;Northern Cape
Bethlehem;Free State
Kempton Park;Gauteng
Nqutu;KZN
Kroonstad;Free State
George;Western Cape
Potchefstroom;North West
Krugersdorp;Gauteng
Mthatha;Eastern Cape
Polokwane;Limpopo
Springs;North West
Upington;Northern Cape
Paarl;Western Cape
Witbank;Mpumalanga
KwaDukusa;KZN
Worcester;Western Cape
Grahamstown;Eastern Cape
Oudtshoorn;Western Cape
Mosselbay;Western Cape
Kokstad;KZN
Vryheid;KZN
Bothaville;Free State
Parys;North West
Grabouw;Western Cape
Mafikeng;North West
Ulundi;KZN
Frankfort;Free State
Giyani;Limpopo
Hammanskraal;Limpopo
Bronkhorstspruit;Gauteng
Graskop;Mpumalanga
eMalahleni;Mpumalanga
Mbombela;Mpumalanga
